#,Title,Tier,Section
68,Ping Federate & Ping Identity SAML SSO Setup Example,Enterprise,N/A
69,Write your own ML backend,All,Machine Learning
70,Set up active learning with Label Studio,Enterprise,Machine Learning
71,Review annotations in Label Studio,Enterprise,Review & Measure Quality
72,Ground truth annotations,Enterprise,Review & Measure Quality
73,Comments and notifications,Enterprise,Review & Measure Quality
74,How task agreement and labeling consensus are calculated,Enterprise,Review & Measure Quality
75,Add a custom agreement metric to Label Studio,Enterprise,Review & Measure Quality
76,Organization management,Enterprise,Manage Your Organization
77,Activity logs,Enterprise,Manage Your Organization
78,AI Assistant,Enterprise,Manage Your Organization
79,Command palette,Enterprise,Manage Your Organization
80,Organization settings,Enterprise,Manage Your Organization
81,Usage & License,Enterprise,Manage Your Organization
82,Support reports - Beta 🧪,Enterprise,Manage Your Organization
83,Model provider API keys for organizations,Enterprise,Manage Your Organization
84,Customize organization permissions,Enterprise,Manage Your Organization
85,User management overview,Enterprise,Manage Your Organization
86,Add users to Label Studio,Opensource,Manage Your Organization
87,Add users to Label Studio Enterprise,Enterprise,Manage Your Organization
88,Manage user accounts,Opensource,Manage Your Organization
89,Manage user accounts,Enterprise,Manage Your Organization
90,User roles and permissions,Enterprise,Manage Your Organization
91,Manage your user account settings,All,Manage Your Organization
92,Access tokens,All,Manage Your Organization
93,"SSO, LDAP & SCIM",Enterprise,Manage Your Organization
94,Set up LDAP authentication for Label Studio,Enterprise,Manage Your Organization
95,Set up SSO authentication for Label Studio,Enterprise,Manage Your Organization
96,Set up SCIM2 for Label Studio,Enterprise,Manage Your Organization
97,How SCIM works with Label Studio Enterprise,Enterprise,Manage Your Organization
98,API Reference for Label Studio,All,Integrate & Extend
99,Label Studio Python SDK,All,Integrate & Extend
100,Set up webhooks in Label Studio,All,Integrate & Extend
101,Embed Label Studio - Beta 🧪,Enterprise,Integrate & Extend
102,Create custom events for webhooks in Label Studio,All,Integrate & Extend
103,Webhook event format reference,All,Integrate & Extend
104,Frontend reference,All,Integrate & Extend
105,On-Premises Release Notes for Label Studio Enterprise,Enterprise,What
106,Troubleshooting Label Studio,Opensource,N/A
107,Onboarding guides,Enterprise,Onboarding
108,How to Annotate in Label Studio,Enterprise,Onboarding
109,How to Review Tasks in Label Studio,Enterprise,Onboarding
110,Decommission minio,All,N/A
111,Time series and Video or Audio,All,N/A
112,Troubleshoot labeling issues,All,N/A
